region_id,region_type,region
394483,metro,College Station TX
54,state,Texas
394811,metro,Lynchburg VA
394455,metro,Charleston WV
394387,metro,Binghamton NY
394609,metro,Fort Smith AR
95806,zip,89110;NV;Las Vegas-Henderson-Paradise NV;Las Vegas;Clark County
96018,zip,90037;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
90690,zip,75098;TX;Dallas-Fort Worth-Arlington TX;Wylie;Collin County
62022,zip,11211;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
84629,zip,60628;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
71864,zip,32210;FL;Jacksonville FL;Jacksonville;Duval County
96868,zip,92407;CA;Riverside-San Bernardino-Ontario CA;San Bernardino;San Bernardino County
61788,zip,10312;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Richmond County
71038,zip,30318;GA;Atlanta-Sandy Springs-Alpharetta GA;Atlanta;Fulton County
87073,zip,66061;KS;Kansas City MO-KS;Olathe;Johnson County
91860,zip,77346;TX;Houston-The Woodlands-Sugar Land TX;Atascocita;Harris County
76534,zip,43123;OH;Columbus OH;Grove City;Franklin County
97545,zip,94080;CA;San Francisco-Oakland-Berkeley CA;South San Francisco;San Mateo County
62190,zip,11706;NY;New York-Newark-Jersey City NY-NJ-PA;Bay Shore;Suffolk County
84611,zip,60609;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
70839,zip,30058;GA;Atlanta-Sandy Springs-Alpharetta GA;Lithonia;Dekalb County
97003,zip,92703;CA;Los Angeles-Long Beach-Anaheim CA;Santa Ana;Orange County
70874,zip,30096;GA;Atlanta-Sandy Springs-Alpharetta GA;Duluth;Gwinnett County
71905,zip,32259;FL;Jacksonville FL;Saint Johns;Saint Johns County
77094,zip,44256;OH;Cleveland-Elyria OH;Medina;Medina County
97931,zip,95020;CA;San Jose-Sunnyvale-Santa Clara CA;Gilroy;Santa Clara County
58660,zip,2148;MA;Boston-Cambridge-Newton MA-NH;Malden;Middlesex County
94883,zip,85301;AZ;Phoenix-Mesa-Chandler AZ;Glendale;Maricopa County
72622,zip,33463;FL;Miami-Fort Lauderdale-Pompano Beach FL;Greenacres;Palm Beach County
62199,zip,11717;NY;New York-Newark-Jersey City NY-NJ-PA;Brentwood;Suffolk County
76231,zip,42101;KY;Bowling Green KY;Bowling Green;Warren County
72371,zip,33033;FL;Miami-Fort Lauderdale-Pompano Beach FL;Homestead;Miami-Dade County
99961,zip,98682;WA;Portland-Vancouver-Hillsboro OR-WA;Vancouver;Clark County
67010,zip,21740;MD;Hagerstown-Martinsburg MD-WV;Hagerstown;Washington County
66683,zip,20878;MD;Washington-Arlington-Alexandria DC-VA-MD-WV;Gaithersburg;Montgomery County
95314,zip,87120;NM;Albuquerque NM;Albuquerque;Bernalillo County
70294,zip,29072;SC;Columbia SC;Lexington;Lexington County
96865,zip,92404;CA;Riverside-San Bernardino-Ontario CA;San Bernardino;San Bernardino County
67657,zip,23322;VA;Virginia Beach-Norfolk-Newport News VA-NC;Chesapeake;Chesapeake City
65810,zip,19143;PA;Philadelphia-Camden-Wilmington PA-NJ-DE-MD;Philadelphia;Philadelphia County
96003,zip,90022;CA;Los Angeles-Long Beach-Anaheim CA;East Los Angeles;Los Angeles County
70909,zip,30135;GA;Atlanta-Sandy Springs-Alpharetta GA;Douglasville;Douglas County
94957,zip,85383;AZ;Phoenix-Mesa-Chandler AZ;Peoria;Maricopa County
96501,zip,91761;CA;Riverside-San Bernardino-Ontario CA;Ontario;San Bernardino County
96572,zip,91977;CA;San Diego-Chula Vista-Carlsbad CA;Spring Valley;San Diego County
90645,zip,75043;TX;Dallas-Fort Worth-Arlington TX;Garland;Dallas County
96987,zip,92677;CA;Los Angeles-Long Beach-Anaheim CA;Laguna Niguel;Orange County
93295,zip,80219;CO;Denver-Aurora-Lakewood CO;Denver;Denver County
94890,zip,85308;AZ;Phoenix-Mesa-Chandler AZ;Glendale;Maricopa County
72234,zip,32808;FL;Orlando-Kissimmee-Sanford FL;Pine Hills;Orange County
96962,zip,92630;CA;Los Angeles-Long Beach-Anaheim CA;Lake Forest;Orange County
98413,zip,95758;CA;Sacramento-Roseville-Folsom CA;Elk Grove;Sacramento County
75696,zip,40475;KY;Richmond-Berea KY;Richmond;Madison County
92003,zip,77521;TX;Houston-The Woodlands-Sugar Land TX;Baytown;Harris County
96826,zip,92346;CA;Riverside-San Bernardino-Ontario CA;Highland;San Bernardino County
74815,zip,38401;TN;Nashville-Davidson--Murfreesboro--Franklin TN;Columbia;Maury County
61169,zip,8753;NJ;New York-Newark-Jersey City NY-NJ-PA;Toms River;Ocean County
70953,zip,30188;GA;Atlanta-Sandy Springs-Alpharetta GA;Woodstock;Cherokee County
71895,zip,32244;FL;Jacksonville FL;Jacksonville;Duval County
66142,zip,20019;DC;Washington-Arlington-Alexandria DC-VA-MD-WV;Washington;District of Columbia
74183,zip,37122;TN;Nashville-Davidson--Murfreesboro--Franklin TN;Mount Juliet;Wilson County
96221,zip,90731;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
90642,zip,75040;TX;Dallas-Fort Worth-Arlington TX;Garland;Dallas County
91721,zip,77072;TX;Houston-The Woodlands-Sugar Land TX;Houston;Harris County
69336,zip,27406;NC;Greensboro-High Point NC;Greensboro;Guilford County
21,state,Illinois
395174,metro,Tyler TX
394454,metro,Champaign IL
394459,metro,Charlottesville VA
196538,neigh,Murray Hill; NY; New York-Newark-Jersey City; Queens County; New York
394773,metro,Las Cruces NM
394464,metro,Chico CA
394681,metro,Hilton Head Island SC
62046,zip,11236;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
394346,metro,Athens GA
61807,zip,10467;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Bronx County
62085,zip,11373;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Queens County
62037,zip,11226;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
62018,zip,11207;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
70829,zip,30044;GA;Atlanta-Sandy Springs-Alpharetta GA;Lawrenceville;Gwinnett County
96025,zip,90044;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
96817,zip,92336;CA;Riverside-San Bernardino-Ontario CA;Fontana;San Bernardino County
97771,zip,94565;CA;San Francisco-Oakland-Berkeley CA;Pittsburg;Contra Costa County
92036,zip,77573;TX;Houston-The Woodlands-Sugar Land TX;League City;Galveston County
96816,zip,92335;CA;Riverside-San Bernardino-Ontario CA;Fontana;San Bernardino County
96083,zip,90201;CA;Los Angeles-Long Beach-Anaheim CA;Bell;Los Angeles County
96107,zip,90250;CA;Los Angeles-Long Beach-Anaheim CA;Hawthorne;Los Angeles County
61639,zip,10025;NY;New York-Newark-Jersey City NY-NJ-PA;New York;New York County
90654,zip,75052;TX;Dallas-Fort Worth-Arlington TX;Grand Prairie;Dallas County
96239,zip,90805;CA;Los Angeles-Long Beach-Anaheim CA;Long Beach;Los Angeles County
62025,zip,11214;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
84620,zip,60618;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
97223,zip,93307;CA;Bakersfield CA;Bakersfield;Kern County
96125,zip,90280;CA;Los Angeles-Long Beach-Anaheim CA;South Gate;Los Angeles County
62044,zip,11234;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
96368,zip,91342;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
96990,zip,92683;CA;Los Angeles-Long Beach-Anaheim CA;Westminster;Orange County
61790,zip,10314;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Richmond County
62031,zip,11220;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
84639,zip,60639;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
92341,zip,78245;TX;San Antonio-New Braunfels TX;San Antonio;Bexar County
62030,zip,11219;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
98040,zip,95206;CA;Stockton CA;Stockton;San Joaquin County
84460,zip,60402;IL;Chicago-Naperville-Elgin IL-IN-WI;Berwyn;Cook County
98304,zip,95608;CA;Sacramento-Roseville-Folsom CA;Carmichael;Sacramento County
84648,zip,60651;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
14,state,Florida
43,state,New York
13437,city,Randolph Township; NJ; New York-Newark-Jersey City; Morris County
44,state,Ohio
36,state,North Carolina
30,state,Michigan
40,state,New Jersey
56,state,Virginia
22,state,Indiana
17384,city,Chandler;AZ;Phoenix-Mesa-Chandler AZ;Maricopa County
47945,city,Tallahassee;FL;Tallahassee FL;Leon County
32,state,Missouri
10,state,Colorado
12065,city,Irving;TX;Dallas-Fort Worth-Arlington TX;Dallas County
53856,city,Pensacola;FL;Pensacola-Ferry Pass-Brent FL;Escambia County
394765,metro,Lake Havasu City AZ
394485,metro,Columbia MO
395114,metro,Springfield IL
394691,metro,Houma LA
394872,metro,Monroe LA
394565,metro,Elkhart IN
4,state,Alabama
25,state,Louisiana
24,state,Kentucky
45,state,Oklahoma
23482,city,Anchorage;AK;Anchorage AK;Anchorage Borough
44564,city,Chesapeake;VA;Virginia Beach-Norfolk-Newport News VA-NC;Chesapeake City
20362,city,Sarasota;FL;North Port-Sarasota-Bradenton FL;Sarasota County
18847,city,Kissimmee;FL;Orlando-Kissimmee-Sanford FL;Osceola County
11,state,Connecticut
55,state,Utah
35,state,Montana
13,state,Delaware
37,state,North Dakota
3,state,Alaska
12,state,District of Columbia
54346,city,Scottsdale;AZ;Phoenix-Mesa-Chandler AZ;Maricopa County
53673,city,Ocala;FL;Ocala FL;Marion County
5534,city,Lancaster;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles County
13444,city,Rapid City;SD;Rapid City SD;Pennington County
31892,city,Gulfport;MS;Gulfport-Biloxi MS;Harrison County
72532,zip,33313;FL;Miami-Fort Lauderdale-Pompano Beach FL;Lauderhill;Broward County
394726,metro,Johnson City TN
395247,metro,Yuma AZ
394623,metro,Gainesville GA
394716,metro,Jacksonville NC
394597,metro,Florence SC
394680,metro,Hilo HI
395118,metro,St. Cloud MN
395162,metro,Torrington CT
395009,metro,Punta Gorda FL
394386,metro,Billings MT
395018,metro,Redding CA
394748,metro,Kingston NY
394960,metro,Panama City FL
394729,metro,Joplin MO
394539,metro,Dover DE
394559,metro,El Centro CA
394712,metro,Jackson TN
394406,metro,Bowling Green KY
395119,metro,St. George UT
394896,metro,Muskegon MI
394299,metro,Abilene TX
394707,metro,Iowa City IA
753869,metro,Bloomington IL
394671,metro,Hattiesburg MS
394944,metro,Oshkosh WI
394651,metro,Greenville NC
394710,metro,Jackson MI
395125,metro,State College PA
70842,zip,30062;GA;Atlanta-Sandy Springs-Alpharetta GA;Marietta;Cobb County
96369,zip,91343;CA;Los Angeles-Long Beach-Anaheim CA;Los Angeles;Los Angeles County
92345,zip,78249;TX;San Antonio-New Braunfels TX;San Antonio;Bexar County
94562,zip,84404;UT;Ogden-Clearfield UT;Ogden;Weber County
96728,zip,92201;CA;Riverside-San Bernardino-Ontario CA;Indio;Riverside County
69778,zip,28215;NC;Charlotte-Concord-Gastonia NC-SC;Charlotte;Mecklenburg County
96917,zip,92562;CA;Riverside-San Bernardino-Ontario CA;Murrieta;Riverside County
71719,zip,31907;GA;Columbus GA-AL;Columbus;Muscogee County
91883,zip,77373;TX;Houston-The Woodlands-Sugar Land TX;Spring;Harris County
91896,zip,77386;TX;Houston-The Woodlands-Sugar Land TX;Spring;Montgomery County
61638,zip,10024;NY;New York-Newark-Jersey City NY-NJ-PA;New York;New York County
72243,zip,32818;FL;Orlando-Kissimmee-Sanford FL;Orlando;Orange County
70482,zip,29445;SC;Charleston-North Charleston SC;Goose Creek;Berkeley County
97852,zip,94806;CA;San Francisco-Oakland-Berkeley CA;Richmond;Contra Costa County
79040,zip,48180;MI;Detroit-Warren-Dearborn MI;Taylor;Wayne County
90727,zip,75150;TX;Dallas-Fort Worth-Arlington TX;Mesquite;Dallas County
